"committee","chairs","issue","code","report_url"
"GA1 - International Security and Disarmement","","The regulation of autonomous weapons systems","GA101",""
"GA1 - International Security and Disarmement","","Preventing cyber warfare against civilian infrastructure","GA102",""
"GA3 - Social, Humanitarian and Cultural","","Protecting indigenous communities amid development projects","GA301",""
"GA3 - Social, Humanitarian and Cultural","","Advancing gender equality in humanitarian response systems","GA302",""
"GA4 - Special Political and Decolonization","","The question of the Western Sahara","GA401",""
"GA4 - Special Political and Decolonization","","Addressing the rights of the Chagossian peoples of Diego Garcia","GA402",""
"HRC - Human Rights Council","","The protection of journalists in conflict zones","HRC01",""
"HRC - Human Rights Council","","Ensuring humanitarian access to conflict zones","HRC02",""
"SC - Security Council","","The situation in Sudan","SC01",""
"SC - Security Council","","Maritime security in the Red Sea","SC02",""
