"section","text","category","extra","visible","link_url"
"fees","Delegate","delegate","€35","",""
"fees","Student Officer","stoff","€15","",""
"fees","MUN Directors/Visitors","director","€15","",""
"fees","Lost badges","other","€5","",""
"fee_notes","Conference fee include a badge and lunch for two days.","","","",""
"fee_notes","There are no extra fees for school registrations.","","","",""
"school_open","To sign up as a school, please fill in [this form](https://forms.gle/YnfHWGUubXNuQQWn9).","","","",""
"school_open","*Preliminary Form* (open from 6th May to the 31st August 2026): are now open.","","","",""
"school_open","*Confirmation Form* (open from late August to early September 2026): confirm details such as names, dietary restrictions, experience level...etc of your delegation with a size within a two-delegate margin of your previous estimate.","","","",""
"school_open","Please feel free to [contact us](/contact) for any questions or amendments regarding your applications.","","","",""
"school_notopen","School applications for RijnMUN 2026 are not yet open. Please come back later.","","","",""
"school_closed","School registration forms have been closed. Please [contact us](/contact) if you have any questions.","","","",""
"individual_open","Individual applications for RijnMUN 2026 are now open! To sign up please fill in [this form](https://forms.gle/3txXmHfF5M9DBeUQ8).","","","",""
"individual_open","Please feel free to [contact us](/contact) for any questions.","","","",""
"individual_notopen","Individual applications for RijnMUN 2026 are not yet open. Please come back later.","","","",""
"individual_closed","Applications for delegates at RijnMUN 2026 are now closed. Position-assignments have been sent to all delegates.","","","",""
"stoff_open","Are you a motivated and organised person? Have you already been to multiple MUN conferences and are you ready for a new challenge? Try being a chair at our RijnMUN conference!","","","",""
"stoff_open","**[Submit your application](https://docs.google.com/forms/d/e/1FAIpQLScubMI5XszXKzvep6ih1ThUTQ7YzUzyiV0PmpQ_ZFarnyq3Vw/viewform?usp=header)!**","","","",""
"stoff_open","Please [contact us](/contact) in case of any questions or concerns.","","","",""
"stoff_notopen","StOff applications for RijnMUN 2026 are not yet open. Please come back later.","","","",""
"stoff_closed","Applications for Student Officers at RijnMUN 2026 are now closed and all applicants have been informed of their application status.","","","",""
"rlo","Do you want to be part of MUN debates in RLO? All students MP3/2e klas or older as of school year 2026-26 are welcome to join our after-school MUN debate practice, every Thursday 6th period in n103. Beginners are always welcome!","","","",""
"rlo","*De voertal van Model United Nations is wel Engels maar alle studenten van RLO zijn van harte welkom!*","","","yes",""
"rlo","For fulfilling CAS or SA requirements with RijnMUN, please consult your tutor and supervisors.","","","",""
"rlo","To sign up please fill in [this form](https://forms.gle/3txXmHfF5M9DBeUQ8).","","","",""
"rlo","Questions? [Send us an email](/contact) or dm us on [Instagram](https://www.instagram.com/rijn.mun?igsh=cWtvcHhlZzN3N2R5).","","","",""
"note","RijnMUN 2026 will not be providing any accomodation;","","","",""
"note","Any guests that are allergic to gluten are kindly requested to bring their own lunch.","","","",""
"mailing","1^{st} Mailing","","","",""
"mailing","Last Mailing","","","",""
"mailing","3^{rd} Mailing","","","",""
"mailing","4^{th} Mailing","","","",""
"mailing","5^{th} Mailing","","","",""
